        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-02-27 08:28:00 ,              776.3   ,                800.0   ,               46.0   ,         12   ,                        5   ,                   0   ,                   12   ,                          32   ,                        26   ,              16   , 1.0750   ,
2016-02-27 08:28:01 ,              776.3   ,                800.0   ,               46.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          32   ,                        26   ,              16   , 1.0750   ,
2016-02-27 08:28:02 ,              776.3   ,                800.0   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          32   ,                        26   ,              16   , 1.0750   ,
2016-02-27 08:28:03 ,              737.7   ,                800.0   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          32   ,                        26   ,              16   , 1.0500   ,
2016-02-27 08:28:04 ,              737.7   ,                800.0   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          33   ,                        27   ,              16   , 1.0500   ,
2016-02-27 08:28:05 ,              737.7   ,                800.0   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          43   ,                        27   ,              16   , 1.0500   ,
2016-02-27 08:28:06 ,              737.7   ,                800.0   ,               47.0   ,          0   ,                        0   ,                   0   ,                    0   ,                          43   ,                        27   ,              16   , 1.0500   ,
2016-02-27 08:28:07 ,              737.7   ,                800.0   ,               49.0   ,         46   ,                        9   ,                   0   ,                   41   ,                          50   ,                        29   ,              16   , 1.0500   ,
2016-02-27 08:28:08 ,              737.7   ,                800.0   ,               49.0   ,         35   ,                        7   ,                   0   ,                   31   ,                          57   ,                        38   ,              16   , 1.0500   ,
2016-02-27 08:28:09 ,              737.7   ,                800.0   ,               50.0   ,         42   ,                       17   ,                   0   ,                   26   ,                          57   ,                        37   ,              16   , 1.0500   ,
2016-02-27 08:28:10 ,              737.7   ,                800.0   ,               50.0   ,         50   ,                       21   ,                   0   ,                   31   ,                          57   ,                        37   ,              16   , 1.0500   ,
2016-02-27 08:28:11 ,              662.7   ,                800.0   ,               48.0   ,          7   ,                        2   ,                   0   ,                    4   ,                          57   ,                        37   ,              16   , 1.0000   ,
2016-02-27 08:28:12 ,              662.7   ,                800.0   ,               50.0   ,         22   ,                       10   ,                   0   ,                   12   ,                          58   ,                        37   ,              16   , 1.0000   ,
2016-02-27 08:28:13 ,              662.7   ,                800.0   ,               50.0   ,         54   ,                       25   ,                   0   ,                   30   ,                          58   ,                        37   ,              16   , 1.0000   ,
2016-02-27 08:28:14 ,              662.7   ,                800.0   ,               49.0   ,         38   ,                       18   ,                   0   ,                   21   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:15 ,              662.7   ,                800.0   ,               51.0   ,         56   ,                       26   ,                   0   ,                   31   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:16 ,              662.7   ,                800.0   ,               51.0   ,         56   ,                       26   ,                   0   ,                   31   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:17 ,              662.7   ,                800.0   ,               51.0   ,         56   ,                       26   ,                   0   ,                   31   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:18 ,              662.7   ,                800.0   ,               51.0   ,         56   ,                       26   ,                   0   ,                   31   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:19 ,              662.7   ,                800.0   ,               51.0   ,         56   ,                       26   ,                   0   ,                   31   ,                          59   ,                        38   ,              16   , 1.0000   ,
2016-02-27 08:28:20 ,              662.7   ,                800.0   ,               49.0   ,          2   ,                        0   ,                   0   ,                    1   ,                          71   ,                        40   ,              16   , 1.0000   ,
2016-02-27 08:28:21 ,              662.7   ,                800.0   ,               49.0   ,          1   ,                        0   ,                   0   ,                    0   ,                          84   ,                        54   ,              16   , 1.0000   ,
2016-02-27 08:28:22 ,              662.7   ,                800.0   ,               50.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         102   ,                        74   ,              16   , 1.0000   ,
2016-02-27 08:28:23 ,              662.7   ,                800.0   ,               50.0   ,          3   ,                        0   ,                   0   ,                    1   ,                         127   ,                        77   ,              16   , 1.0000   ,
2016-02-27 08:28:24 ,              662.7   ,                800.0   ,               52.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         228   ,                        89   ,              16   , 1.0000   ,
2016-02-27 08:28:25 ,              776.3   ,                800.0   ,               59.0   ,         98   ,                       86   ,                   0   ,                    8   ,                         224   ,                        43   ,              16   , 1.0250   ,
2016-02-27 08:28:26 ,              936.6   ,                800.0   ,               65.0   ,         99   ,                       89   ,                   0   ,                    9   ,                         225   ,                        43   ,               0   , 1.1000   ,
2016-02-27 08:28:27 ,              936.6   ,                800.0   ,               63.0   ,         50   ,                       41   ,                   0   ,                    5   ,                         225   ,                        40   ,               0   , 1.1000   ,
2016-02-27 08:28:28 ,              936.6   ,                800.0   ,               65.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:29 ,              936.6   ,                800.0   ,               67.0   ,         99   ,                       83   ,                   0   ,                   10   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:30 ,              936.6   ,                800.0   ,               66.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:31 ,              936.6   ,                800.0   ,               67.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:28:32 ,              936.6   ,                800.0   ,               69.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        39   ,               0   , 1.1000   ,
2016-02-27 08:28:33 ,              936.6   ,                800.0   ,               68.0   ,         99   ,                       84   ,                   0   ,                   10   ,                         223   ,                        38   ,               0   , 1.1000   ,
2016-02-27 08:28:34 ,              936.6   ,                800.0   ,               70.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        38   ,               0   , 1.1000   ,
