CPUID:,0x1067A
Processor:,Intel Pentium Dual-Core E5200 (Wolfdale-2M) 
Platform:,LGA 775 (Socket T)
Revision:,R0
Lithography:,45nm

Session start:,10:37:08 - April 07 - 2016

Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
10:49:09 04/07/16,71,69,,,66,100,3,1199.67,,64,99,12,1199.67,
10:49:19 04/07/16,80,77,,,66,100,89,2399.34,,64,99,12,2299.37,
10:49:29 04/07/16,69,67,,,66,100,9,1199.67,,64,99,17,1199.67,
10:49:39 04/07/16,81,77,,,66,100,74,2399.34,,64,99,65,2499.32,
10:49:49 04/07/16,80,77,,,66,100,46,2099.43,,64,99,42,2099.43,
10:49:59 04/07/16,84,80,,,66,100,77,2399.34,,64,99,48,2399.34,
10:50:09 04/07/16,91,87,,,66,100,97,2499.32,,64,99,55,2499.32,
10:50:19 04/07/16,95,91,,,66,100,100,2499.32,,64,99,52,2499.32,
10:50:29 04/07/16,98,93,,,66,100,98,2499.32,,64,99,37,2499.32,
10:50:39 04/07/16,99,94,,,66,100,100,2399.34,,64,99,35,2399.34,
10:50:49 04/07/16,99,94,,,66,100,98,2299.37,,64,99,50,2299.37,
10:50:59 04/07/16,99,94,,,66,100,98,2299.37,,64,99,37,2299.37,
10:51:09 04/07/16,99,94,,,66,100,97,2199.40,,64,99,52,2199.40,
10:51:19 04/07/16,99,94,,,66,100,94,2199.40,,64,99,57,2199.40,
10:51:29 04/07/16,99,95,,,66,100,95,2199.40,,64,99,51,2199.40,
10:51:39 04/07/16,99,94,,,66,100,100,2099.43,,64,99,50,2199.40,
10:51:49 04/07/16,99,95,,,66,100,92,2099.43,,64,99,51,2199.40,
10:51:59 04/07/16,99,95,,,66,100,91,2199.40,,64,99,44,2199.40,
10:52:09 04/07/16,99,94,,,66,100,100,2199.40,,64,99,43,2199.40,
10:52:19 04/07/16,99,95,,,66,100,97,2199.40,,64,99,46,2199.40,
10:52:29 04/07/16,99,95,,,66,100,92,2099.43,,64,99,43,2199.40,
10:52:39 04/07/16,99,96,,,66,100,97,2199.40,,64,99,65,2199.40,
10:52:49 04/07/16,91,88,,,66,100,52,2299.37,,64,99,22,2099.43,
10:52:59 04/07/16,99,94,,,66,100,92,2499.32,,64,99,82,2399.34,
10:53:09 04/07/16,93,84,,,66,100,70,2399.34,,64,99,11,2399.34,
10:53:19 04/07/16,94,92,,,66,100,71,2499.32,,64,99,70,2499.32,
10:53:29 04/07/16,93,89,,,66,100,62,1799.51,,64,99,40,1799.51,
10:53:39 04/07/16,93,86,,,66,100,71,2399.34,,64,99,52,2399.34,
10:53:49 04/07/16,99,94,,,66,100,97,2499.32,,64,99,57,2499.32,
10:53:59 04/07/16,99,95,,,66,100,97,2199.40,,64,99,54,2199.40,
10:54:09 04/07/16,99,95,,,66,100,98,2099.43,,64,99,57,2199.40,
10:54:19 04/07/16,99,94,,,66,100,98,2199.40,,64,99,57,2199.40,
10:54:29 04/07/16,99,93,,,66,100,95,2199.40,,64,99,43,2199.40,
10:54:39 04/07/16,99,95,,,66,100,98,2099.43,,64,99,56,2199.40,
10:54:49 04/07/16,99,95,,,66,100,100,2099.43,,64,99,39,2099.43,
10:54:59 04/07/16,99,94,,,66,100,97,2099.43,,64,99,50,2199.40,
10:55:09 04/07/16,99,94,,,66,100,97,2199.40,,64,99,38,2199.40,
10:55:19 04/07/16,99,94,,,66,100,98,2099.43,,64,99,37,2199.40,
10:55:29 04/07/16,99,93,,,66,100,97,2099.43,,64,99,29,2099.43,
10:55:39 04/07/16,99,94,,,66,100,100,2099.43,,64,99,48,2099.43,
10:55:49 04/07/16,99,94,,,66,100,98,2099.43,,64,99,37,2099.43,
10:55:59 04/07/16,99,94,,,66,100,97,1199.67,,64,99,44,2099.43,
10:56:09 04/07/16,99,94,,,66,100,95,2099.43,,64,99,57,2099.43,
10:56:19 04/07/16,99,94,,,66,100,97,2099.43,,64,99,50,2099.43,
10:56:29 04/07/16,99,95,,,66,100,97,2099.43,,64,99,42,2099.43,
10:56:39 04/07/16,99,95,,,66,100,98,2099.43,,64,99,65,2099.43,
10:56:49 04/07/16,99,93,,,66,100,98,2099.43,,64,99,32,2099.43,
10:56:59 04/07/16,99,94,,,66,100,98,2099.43,,64,99,44,2199.40,
10:57:09 04/07/16,99,94,,,66,100,95,2099.43,,64,99,43,2099.43,
10:57:19 04/07/16,99,93,,,66,100,100,2099.43,,64,99,40,2099.43,
10:57:29 04/07/16,99,94,,,66,100,100,2099.43,,64,99,45,2199.40,
10:57:39 04/07/16,99,94,,,66,100,97,2099.43,,64,99,40,2099.43,
10:57:49 04/07/16,99,94,,,66,100,100,2099.43,,64,99,19,2199.40,
10:57:59 04/07/16,99,94,,,66,100,95,2099.43,,64,99,36,2099.43,
10:58:09 04/07/16,99,93,,,66,100,100,2099.43,,64,99,39,2199.40,
10:58:19 04/07/16,99,94,,,66,100,96,2099.43,,64,99,37,2199.40,
10:58:29 04/07/16,99,94,,,66,100,100,2099.43,,64,99,45,2199.40,
10:58:39 04/07/16,99,93,,,66,100,97,2099.43,,64,99,33,2199.40,
10:58:49 04/07/16,100,94,,,66,100,100,2099.43,,64,99,23,2199.40,
10:58:59 04/07/16,99,94,,,66,100,100,2199.40,,64,99,48,2199.40,
10:59:09 04/07/16,99,94,,,66,100,98,2099.43,,64,99,35,2099.43,
10:59:19 04/07/16,99,94,,,66,100,95,2099.43,,64,99,49,2199.40,
10:59:29 04/07/16,99,94,,,66,100,97,2099.43,,64,99,48,2199.40,
10:59:39 04/07/16,99,94,,,66,100,97,2099.43,,64,99,45,2199.40,
10:59:50 04/07/16,99,94,,,66,100,97,2099.43,,64,99,30,2199.40,
11:00:00 04/07/16,99,93,,,66,100,98,2099.43,,64,99,29,2199.40,
11:00:10 04/07/16,99,94,,,66,100,98,2099.43,,64,99,42,2199.40,
11:00:20 04/07/16,99,94,,,66,100,97,2099.43,,64,99,39,2199.40,
11:00:30 04/07/16,99,94,,,66,100,94,2099.43,,64,99,51,2199.40,
11:00:40 04/07/16,99,94,,,66,100,98,2099.43,,64,99,26,2199.40,
11:00:50 04/07/16,99,94,,,66,100,100,2099.43,,64,99,36,2199.40,
11:01:00 04/07/16,99,94,,,66,100,97,2099.43,,64,99,31,2199.40,
11:01:10 04/07/16,99,93,,,66,100,98,2099.43,,64,99,32,2199.40,
11:01:20 04/07/16,99,94,,,66,100,98,2099.43,,64,99,43,2199.40,
11:01:30 04/07/16,100,93,,,66,100,98,2099.43,,64,99,32,2099.43,
11:01:40 04/07/16,99,94,,,66,100,98,2099.43,,64,99,42,2199.40,
11:01:50 04/07/16,99,93,,,66,100,100,2099.43,,64,99,22,2199.40,
11:02:00 04/07/16,99,94,,,66,100,100,2199.40,,64,99,54,2199.40,
11:02:10 04/07/16,99,94,,,66,100,95,2099.43,,64,99,42,2199.40,
11:02:20 04/07/16,99,94,,,66,100,98,2099.43,,64,99,34,2199.40,
11:02:30 04/07/16,99,94,,,66,100,97,2099.43,,64,99,28,2199.40,
11:02:40 04/07/16,99,94,,,66,100,98,2099.43,,64,99,40,2199.40,
11:02:50 04/07/16,99,93,,,66,100,100,2099.43,,64,99,41,2199.40,
11:03:00 04/07/16,99,93,,,66,100,97,2099.43,,64,99,31,2199.40,
11:03:10 04/07/16,99,93,,,66,100,98,2199.40,,64,99,48,2199.40,
11:03:20 04/07/16,99,93,,,66,100,100,2099.43,,64,99,28,2199.40,
11:03:30 04/07/16,99,94,,,66,100,100,2099.43,,64,99,30,2199.40,
11:03:40 04/07/16,99,94,,,66,100,100,2099.43,,64,99,33,2199.40,
11:03:50 04/07/16,99,93,,,66,100,97,2099.43,,64,99,31,2199.40,
11:04:00 04/07/16,99,93,,,66,100,98,2099.43,,64,99,35,2199.40,
11:04:10 04/07/16,99,93,,,66,100,100,2099.43,,64,99,24,2199.40,
11:04:20 04/07/16,99,93,,,66,100,100,2099.43,,64,99,42,2199.40,
11:04:30 04/07/16,99,92,,,66,100,97,2199.40,,64,99,24,2199.40,
11:04:40 04/07/16,99,90,,,66,100,49,2099.43,,64,99,12,1999.45,
11:04:50 04/07/16,97,91,,,66,100,83,2199.40,,64,99,12,2199.40,
11:05:00 04/07/16,94,89,,,66,100,59,2399.34,,64,99,43,2399.34,
11:05:10 04/07/16,93,89,,,66,100,57,2399.34,,64,99,55,2399.34,
11:05:20 04/07/16,93,89,,,66,100,69,2399.34,,64,99,51,2399.34,
11:05:30 04/07/16,87,84,,,66,100,31,2099.43,,64,99,40,2399.34,
11:05:40 04/07/16,77,75,,,66,100,3,1199.67,,64,99,15,1199.67,

Session end:,11:05:46 - April 07 - 2016

